発注書（仕入先）,発注書_商品名,発注_納価,発注_売価,発注数,発注書_JAN/備考,見積書_仕入先,見積書_商品名,見積書_JANコード,見積書_卸価格,見積書_上代,突合結果
旭川食品様発注書,塩ようかん 小豆,240.0,300,30,JANお知らせください,旭川食品,塩ようかん 小豆,4580223790262,204,300,見積からJAN特定
旭川食品様発注書,塩ようかん 小倉,240.0,300,30,JANお知らせください,旭川食品,塩ようかん 小倉,4580223790279,204,300,見積からJAN特定
旭川食品様発注書,塩ようかん よもぎ,240.0,300,30,JANお知らせください,旭川食品,塩ようかん よもぎ,4580223790972,204,300,見積からJAN特定
にんにく種蔵様発注書,ダイヤモンドにんにくマヨネーズ90g,629.0,850,80,4573252030331,仕入先提供,ダイヤモンドにんにくマヨネーズ,4573252030331,,, JAN確認済（発注書＋仕入先提供一致）
にんにく種蔵様発注書,ダイヤモンドにんにく味噌90g,629.0,850,20,JANなし,仕入先提供,ダイヤモンドにんにく味噌,4573252030324,,,仕入先からJAN入手
にんにく種蔵様発注書,ダイヤモンドにんにくバーニャカウダ,629.0,850,20,JANなし,仕入先提供,ダイヤモンドにんにくバーニャカウダ,4573252030355,,,仕入先からJAN入手
にんにく種蔵様発注書,絶望のにんにくトマトソース200g,629.0,850,50,JANなし,,,,,,JAN未入手
にんにく種蔵様発注書,待望のにんにくペペロンチーノソース,629.0,850,50,JANなし,,,,,,JAN未入手
にんにく種蔵（発注外）,ダイヤモンドにんにく塩50g瓶,,,,,仕入先提供,ダイヤモンドにんにく塩50g瓶,4595318744051,,,仕入先からJAN入手（発注外参考）
にんにく種蔵（発注外）,ダイヤモンドにんにくさば粉20g瓶,,,,,仕入先提供,ダイヤモンドにんにくさば粉20g瓶,4595318744068,,,仕入先からJAN入手（発注外参考）
にんにく種蔵（発注外）,ダイヤモンドにんにく七味40g瓶,,,,,仕入先提供,ダイヤモンドにんにく七味40g瓶,4595318744099,,,仕入先からJAN入手（発注外参考）
にんにく種蔵（発注外）,ダイヤモンドにんにく胡椒40g瓶,,,,,仕入先提供,ダイヤモンドにんにく胡椒40g瓶,4595318744082,,,仕入先からJAN入手（発注外参考）
にんにく種蔵（発注外）,ニンスコ65g瓶,,,,,仕入先提供,ニンスコ65g瓶,4595318744105,,,仕入先からJAN入手（発注外参考）
みそぎの郷きこない様発注書,オリジナルポテトチップス,259.0,324,96,JANなし,仕入先提供,きこないポテトチップス（60g）,4976766033612,,,仕入先からJAN入手
みそぎの郷きこない様発注書,みそぎボーイ塩きびだんご,441.0,556,36,JANなし,,,,,,JAN未入手
きこない（発注外）,木古内産ひじ輝（30g）,,,,,仕入先提供,木古内産ひじ輝（30g）,4595316310036,,,仕入先からJAN入手（発注外参考）
ナオバンズ様発注書,俱知安小豆あんこカスタードパウンドケーキ,238.0,280,10,JANなし,仕入先提供,倶知安小豆あんこカスタードパウンドケーキ,4595316582013,,,仕入先からJAN入手
ナオバンズ様発注書,俱知安栗かぼちゃパウンドケーキ,238.0,280,10,JANなし,仕入先提供,倶知安栗かぼちゃパウンドケーキ,4595316582020,,,仕入先からJAN入手
ナオバンズ様発注書,抹茶ニセコ黒豆ホワイトチョコパウンドケーキ,238.0,280,10,JANなし,仕入先提供,抹茶・ニセコ黒豆・ホワイトチョコパウンドケーキ,4595316582037,,,仕入先からJAN入手
ナオバンズ様発注書,SAKURA酒粕パウンドケーキ,238.0,280,10,JANなし,仕入先提供,SAKURA酒粕パウンドケーキ,4595316582044,,,仕入先からJAN入手
ナオバンズ様発注書,酒粕ココアレーズンパウンドケーキ,238.0,280,5,JANなし,仕入先提供,酒粕ここあレーズンパウンドケーキ,4595316582051,,,仕入先からJAN入手
ナオバンズ様発注書,ニセコ人参ココナッツパウンドケーキ,238.0,280,5,JANなし,仕入先提供,ニセコにんじん＆ココナッツパウンドケーキ,4595316582068,,,仕入先からJAN入手
ナオバンズ様発注書,めっちゃレモンなパウンドケーキ,238.0,280,5,JANなし,仕入先提供,めちゃレモンなパウンドケーキ,4595316582075,,,仕入先からJAN入手
ナオバンズ様発注書,フォンダン・あんこ,514.0,600,20,JANなし,仕入先提供,フォンダン・あんこ,4595316582112,,,仕入先からJAN入手
ナオバンズ（発注外）,倶知安小豆あんこパイ,,,,,仕入先提供,倶知安小豆あんこパイ,4595316582082,,,仕入先からJAN入手（発注外参考）
ナオバンズ（発注外）,クッキー缶,,,,,仕入先提供,クッキー缶,4595316582099,,,仕入先からJAN入手（発注外参考）
ベターデイズ様発注書,行者ニンニクみそ豚まん,338.0,417,20,JANなし,仕入先提供,ニンニクみそ豚まん,4595985377019,,,仕入先からJAN入手
ベターデイズ様発注書,十勝チーズまん,392.0,480,22,JANなし,仕入先提供,チーズまん,4595985377033,,,仕入先からJAN入手
ヤマニ野口水産様発注書,カットサーモン・プレミアム52g,553.0,690,20,JANなし,ヤマニ野口水産,カットサーモン・プレミアム 40g,4531066021464,,,見積からJAN特定（※発注52g/見積40g規格差あり）
ヤマニ野口水産様発注書,ナチュラルサーモンジャーキー,400.0,500,20,JANなし,ヤマニ野口水産,ナチュラルサーモンジャーキー 28g,4531066016088,,,見積からJAN特定
ヤマニ野口水産様発注書,鮭ジャーキー×ブラックペッパー,400.0,500,20,JANなし,ヤマニ野口水産,鮭ジャーキー×ブラックペッパー 28g,4531066025400,270,,見積からJAN特定
ヤマニ野口水産様発注書,鮭ジャーキー×ピリ辛明太,400.0,500,20,JANなし,ヤマニ野口水産,鮭ジャーキー×ピリ辛明太 28g,4531066025134,270,,見積からJAN特定
ヤマニ野口水産様発注書,鮭ジャーキー×プレーン,400.0,500,20,JANなし,ヤマニ野口水産,鮭ジャーキー×プレーン 28g,4531066025332,270,,見積からJAN特定
ヤマニ野口水産様発注書,鮭ジャーキー×バジル,400.0,500,20,JANなし,ヤマニ野口水産,鮭ジャーキー×バジル 28g,4531066025448,270,,見積からJAN特定
ヤマニ野口水産様発注書,鮭ジャーキー×魚醤,400.0,500,20,JANなし,ヤマニ野口水産,鮭ジャーキー×魚醤 28g,4531066025455,270,,見積からJAN特定
ヤマニ野口水産様発注書,ホッケジャーキー・スモーク36g,318.0,400,10,JANなし,ヤマニ野口水産,ほっけジャーキースモーク 36g,4531066016088,,,見積からJAN特定（※JAN重複:ナチュラルサーモンと同一JAN・要確認）
ヤマニ野口水産様発注書,にしん本燻200g,824.0,1000,10,JANなし,ヤマニ野口水産,にしん本燻 140g,4531066050112,,,見積からJAN特定（※発注200g/見積140g規格差あり）
ヤマニ野口水産様発注書,こぼれ数の子燻製,376.0,470,20,JANなし,ヤマニ野口水産,こぼれ数の子燻製 20g,4531066090132,,,見積からJAN特定
ヤマニ野口水産様発注書,鮭フレーク70g,388.0,480,20,JANなし,ヤマニ野口水産,鮭フレーク 70g,4531066910003,,,見積からJAN特定
